Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 9563
n: 9563
a: 91
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.9563
1, 0.0233
2, 0.1203
3, 0.9473
4, 0.2043
5, 0.5913
6, 0.8083
7, 0.5553
8, 0.5323
9, 0.4393
10, 0.9763
11, 0.8433
12, 0.7403
13, 0.3673
14, 0.4243
15, 0.6113
16, 0.6283
17, 0.1753
18, 0.9523
19, 0.6593
20, 0.9963
21, 0.6633
22, 0.3603
23, 0.7873
24, 0.6443
25, 0.6313
26, 0.4483
27, 0.7953
28, 0.3723
29, 0.8793
30, 0.0163
31, 0.4833
32, 0.9803
33, 0.2073
34, 0.8643
35, 0.6513
36, 0.2683
37, 0.4153
38, 0.7923
39, 0.0993
40, 0.0363
41, 0.3033
42, 0.6003
43, 0.6273
44, 0.0843
45, 0.6713
46, 0.0883
47, 0.0353
48, 0.2123
49, 0.3193
50, 0.0563
51, 0.1233
52, 0.2203
53, 0.0473
54, 0.3043
55, 0.6913
56, 0.9083
57, 0.6553
58, 0.6323
59, 0.5393
60, 0.0763
61, 0.9433
62, 0.8403
63, 0.4673
64, 0.5243
65, 0.7113
66, 0.7283
67, 0.2753
68, 0.0523
69, 0.7593
70, 0.0963
71, 0.7633
72, 0.4603
73, 0.8873
74, 0.7443
75, 0.7313
76, 0.5483
77, 0.8953
78, 0.4723
79, 0.9793
80, 0.1163
81, 0.5833
82, 0.0803
83, 0.3073
84, 0.9643
85, 0.7513
86, 0.3683
87, 0.5153
88, 0.8923
89, 0.1993
90, 0.1363
91, 0.4033
92, 0.7003
93, 0.7273
94, 0.1843
95, 0.7713
96, 0.1883
97, 0.1353
98, 0.3123
99, 0.4193
100, 0.1563
