Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 5393
n: 5393
a: 21
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.5393
1, 0.3253
2, 0.8313
3, 0.4573
4, 0.6033
5, 0.6693
6, 0.0553
7, 0.1613
8, 0.3873
9, 0.1333
10, 0.7993
11, 0.7853
12, 0.4913
13, 0.3173
14, 0.6633
15, 0.9293
16, 0.5153
17, 0.8213
18, 0.2473
19, 0.1933
20, 0.0593
21, 0.2453
22, 0.1513
23, 0.1773
24, 0.7233
25, 0.1893
26, 0.9753
27, 0.4813
28, 0.1073
29, 0.2533
30, 0.3193
31, 0.7053
32, 0.8113
33, 0.0373
34, 0.7833
35, 0.4493
36, 0.4353
37, 0.1413
38, 0.9673
39, 0.3133
40, 0.5793
41, 0.1653
42, 0.4713
43, 0.8973
44, 0.8433
45, 0.7093
46, 0.8953
47, 0.8013
48, 0.8273
49, 0.3733
50, 0.8393
51, 0.6253
52, 0.1313
53, 0.7573
54, 0.9033
55, 0.9693
56, 0.3553
57, 0.4613
58, 0.6873
59, 0.4333
60, 0.0993
61, 0.0853
62, 0.7913
63, 0.6173
64, 0.9633
65, 0.2293
66, 0.8153
67, 0.1213
68, 0.5473
69, 0.4933
70, 0.3593
71, 0.5453
72, 0.4513
73, 0.4773
74, 0.0233
75, 0.4893
76, 0.2753
77, 0.7813
78, 0.4073
79, 0.5533
80, 0.6193
81, 0.0053
82, 0.1113
83, 0.3373
84, 0.0833
85, 0.7493
86, 0.7353
87, 0.4413
88, 0.2673
89, 0.6133
90, 0.8793
91, 0.4653
92, 0.7713
93, 0.1973
94, 0.1433
95, 0.0093
96, 0.1953
97, 0.1013
98, 0.1273
99, 0.6733
100, 0.1393
