Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 31
n: 31
a: 83
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.0031
1, 0.2573
2, 0.3559
3, 0.5397
4, 0.7951
5, 0.9933
6, 0.4439
7, 0.8437
8, 0.0271
9, 0.2493
10, 0.6919
11, 0.4277
12, 0.4991
13, 0.4253
14, 0.2999
15, 0.8917
16, 0.0111
17, 0.9213
18, 0.4679
19, 0.8357
20, 0.3631
21, 0.1373
22, 0.3959
23, 0.8597
24, 0.3551
25, 0.4733
26, 0.2839
27, 0.5637
28, 0.7871
29, 0.3293
30, 0.3319
31, 0.5477
32, 0.4591
33, 0.1053
34, 0.7399
35, 0.4117
36, 0.1711
37, 0.2013
38, 0.7079
39, 0.7557
40, 0.7231
41, 0.0173
42, 0.4359
43, 0.1797
44, 0.9151
45, 0.9533
46, 0.1239
47, 0.2837
48, 0.5471
49, 0.4093
50, 0.9719
51, 0.6677
52, 0.4191
53, 0.7853
54, 0.1799
55, 0.9317
56, 0.3311
57, 0.4813
58, 0.9479
59, 0.6757
60, 0.0831
61, 0.8973
62, 0.4759
63, 0.4997
64, 0.4751
65, 0.4333
66, 0.9639
67, 0.0037
68, 0.3071
69, 0.4893
70, 0.6119
71, 0.7877
72, 0.3791
73, 0.4653
74, 0.6199
75, 0.4517
76, 0.4911
77, 0.7613
78, 0.1879
79, 0.5957
80, 0.4431
81, 0.7773
82, 0.5159
83, 0.8197
84, 0.0351
85, 0.9133
86, 0.8039
87, 0.7237
88, 0.0671
89, 0.5693
90, 0.2519
91, 0.9077
92, 0.3391
93, 0.1453
94, 0.0599
95, 0.9717
96, 0.6511
97, 0.0413
98, 0.4279
99, 0.5157
100, 0.8031
