Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 6567
n: 6567
a: 91
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.6567
1, 0.7597
2, 0.1327
3, 0.0757
4, 0.8887
5, 0.8717
6, 0.3247
7, 0.5477
8, 0.8407
9, 0.5037
10, 0.8367
11, 0.1397
12, 0.7127
13, 0.8557
14, 0.8687
15, 0.0517
16, 0.7047
17, 0.1277
18, 0.6207
19, 0.4837
20, 0.0167
21, 0.5197
22, 0.2927
23, 0.6357
24, 0.8487
25, 0.2317
26, 0.0847
27, 0.7077
28, 0.4007
29, 0.4637
30, 0.1967
31, 0.8997
32, 0.8727
33, 0.4157
34, 0.8287
35, 0.4117
36, 0.4647
37, 0.2877
38, 0.1807
39, 0.4437
40, 0.3767
41, 0.2797
42, 0.4527
43, 0.1957
44, 0.8087
45, 0.5917
46, 0.8447
47, 0.8677
48, 0.9607
49, 0.4237
50, 0.5567
51, 0.6597
52, 0.0327
53, 0.9757
54, 0.7887
55, 0.7717
56, 0.2247
57, 0.4477
58, 0.7407
59, 0.4037
60, 0.7367
61, 0.0397
62, 0.6127
63, 0.7557
64, 0.7687
65, 0.9517
66, 0.6047
67, 0.0277
68, 0.5207
69, 0.3837
70, 0.9167
71, 0.4197
72, 0.1927
73, 0.5357
74, 0.7487
75, 0.1317
76, 0.9847
77, 0.6077
78, 0.3007
79, 0.3637
80, 0.0967
81, 0.7997
82, 0.7727
83, 0.3157
84, 0.7287
85, 0.3117
86, 0.3647
87, 0.1877
88, 0.0807
89, 0.3437
90, 0.2767
91, 0.1797
92, 0.3527
93, 0.0957
94, 0.7087
95, 0.4917
96, 0.7447
97, 0.7677
98, 0.8607
99, 0.3237
100, 0.4567
