Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 8821
n: 8821
a: 63
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.8821
1, 0.5723
2, 0.0549
3, 0.4587
4, 0.8981
5, 0.5803
6, 0.5589
7, 0.2107
8, 0.2741
9, 0.2683
10, 0.9029
11, 0.8827
12, 0.6101
13, 0.4363
14, 0.4869
15, 0.6747
16, 0.5061
17, 0.8843
18, 0.7109
19, 0.7867
20, 0.5621
21, 0.4123
22, 0.9749
23, 0.4187
24, 0.3781
25, 0.8203
26, 0.6789
27, 0.7707
28, 0.5541
29, 0.9083
30, 0.2229
31, 0.0427
32, 0.6901
33, 0.4763
34, 0.0069
35, 0.4347
36, 0.3861
37, 0.3243
38, 0.4309
39, 0.1467
40, 0.2421
41, 0.2523
42, 0.8949
43, 0.3787
44, 0.8581
45, 0.0603
46, 0.7989
47, 0.3307
48, 0.8341
49, 0.5483
50, 0.5429
51, 0.2027
52, 0.7701
53, 0.5163
54, 0.5269
55, 0.1947
56, 0.2661
57, 0.7643
58, 0.1509
59, 0.5067
60, 0.9221
61, 0.0923
62, 0.8149
63, 0.3387
64, 0.3381
65, 0.3003
66, 0.9189
67, 0.8907
68, 0.1141
69, 0.1883
70, 0.8629
71, 0.3627
72, 0.8501
73, 0.5563
74, 0.0469
75, 0.9547
76, 0.1461
77, 0.2043
78, 0.8709
79, 0.8667
80, 0.6021
81, 0.9323
82, 0.7349
83, 0.2987
84, 0.8181
85, 0.5403
86, 0.0389
87, 0.4507
88, 0.3941
89, 0.8283
90, 0.1829
91, 0.5227
92, 0.9301
93, 0.5963
94, 0.5669
95, 0.7147
96, 0.0261
97, 0.6443
98, 0.5909
99, 0.2267
100, 0.2821
