Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 8407
n: 8407
a: 91
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.8407
1, 0.5037
2, 0.8367
3, 0.1397
4, 0.7127
5, 0.8557
6, 0.8687
7, 0.0517
8, 0.7047
9, 0.1277
10, 0.6207
11, 0.4837
12, 0.0167
13, 0.5197
14, 0.2927
15, 0.6357
16, 0.8487
17, 0.2317
18, 0.0847
19, 0.7077
20, 0.4007
21, 0.4637
22, 0.1967
23, 0.8997
24, 0.8727
25, 0.4157
26, 0.8287
27, 0.4117
28, 0.4647
29, 0.2877
30, 0.1807
31, 0.4437
32, 0.3767
33, 0.2797
34, 0.4527
35, 0.1957
36, 0.8087
37, 0.5917
38, 0.8447
39, 0.8677
40, 0.9607
41, 0.4237
42, 0.5567
43, 0.6597
44, 0.0327
45, 0.9757
46, 0.7887
47, 0.7717
48, 0.2247
49, 0.4477
50, 0.7407
51, 0.4037
52, 0.7367
53, 0.0397
54, 0.6127
55, 0.7557
56, 0.7687
57, 0.9517
58, 0.6047
59, 0.0277
60, 0.5207
61, 0.3837
62, 0.9167
63, 0.4197
64, 0.1927
65, 0.5357
66, 0.7487
67, 0.1317
68, 0.9847
69, 0.6077
70, 0.3007
71, 0.3637
72, 0.0967
73, 0.7997
74, 0.7727
75, 0.3157
76, 0.7287
77, 0.3117
78, 0.3647
79, 0.1877
80, 0.0807
81, 0.3437
82, 0.2767
83, 0.1797
84, 0.3527
85, 0.0957
86, 0.7087
87, 0.4917
88, 0.7447
89, 0.7677
90, 0.8607
91, 0.3237
92, 0.4567
93, 0.5597
94, 0.9327
95, 0.8757
96, 0.6887
97, 0.6717
98, 0.1247
99, 0.3477
100, 0.6407
