Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 7801
n: 7801
a: 77
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.7801
1, 0.0677
2, 0.2129
3, 0.3933
4, 0.2841
5, 0.8757
6, 0.4289
7, 0.0253
8, 0.9481
9, 0.0037
10, 0.2849
11, 0.9373
12, 0.1721
13, 0.2517
14, 0.3809
15, 0.3293
16, 0.3561
17, 0.4197
18, 0.3169
19, 0.4013
20, 0.9001
21, 0.3077
22, 0.6929
23, 0.3533
24, 0.2041
25, 0.7157
26, 0.1089
27, 0.3853
28, 0.6681
29, 0.4437
30, 0.1649
31, 0.6973
32, 0.6921
33, 0.2917
34, 0.4609
35, 0.4893
36, 0.6761
37, 0.0597
38, 0.5969
39, 0.9613
40, 0.0201
41, 0.5477
42, 0.1729
43, 0.3133
44, 0.1241
45, 0.5557
46, 0.7889
47, 0.7453
48, 0.3881
49, 0.8837
50, 0.0449
51, 0.4573
52, 0.2121
53, 0.3317
54, 0.5409
55, 0.6493
56, 0.9961
57, 0.6997
58, 0.8769
59, 0.5213
60, 0.1401
61, 0.7877
62, 0.6529
63, 0.2733
64, 0.0441
65, 0.3957
66, 0.4689
67, 0.1053
68, 0.1081
69, 0.3237
70, 0.9249
71, 0.2173
72, 0.7321
73, 0.3717
74, 0.6209
75, 0.8093
76, 0.3161
77, 0.3397
78, 0.1569
79, 0.0813
80, 0.2601
81, 0.0277
82, 0.1329
83, 0.2333
84, 0.9641
85, 0.2357
86, 0.1489
87, 0.4653
88, 0.8281
89, 0.7637
90, 0.8049
91, 0.9773
92, 0.2521
93, 0.4117
94, 0.7009
95, 0.9693
96, 0.6361
97, 0.9797
98, 0.4369
99, 0.6413
100, 0.3801
