Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 2369
n: 2369
a: 21
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.2369
1, 0.9749
2, 0.4729
3, 0.9309
4, 0.5489
5, 0.5269
6, 0.0649
7, 0.3629
8, 0.6209
9, 0.0389
10, 0.8169
11, 0.1549
12, 0.2529
13, 0.3109
14, 0.5289
15, 0.1069
16, 0.2449
17, 0.1429
18, 9.0E-4
19, 0.0189
20, 0.3969
21, 0.3349
22, 0.0329
23, 0.6909
24, 0.5089
25, 0.6869
26, 0.4249
27, 0.9229
28, 0.3809
29, 0.9989
30, 0.9769
31, 0.5149
32, 0.8129
33, 0.0709
34, 0.4889
35, 0.2669
36, 0.6049
37, 0.7029
38, 0.7609
39, 0.9789
40, 0.5569
41, 0.6949
42, 0.5929
43, 0.4509
44, 0.4689
45, 0.8469
46, 0.7849
47, 0.4829
48, 0.1409
49, 0.9589
50, 0.1369
51, 0.8749
52, 0.3729
53, 0.8309
54, 0.4489
55, 0.4269
56, 0.9649
57, 0.2629
58, 0.5209
59, 0.9389
60, 0.7169
61, 0.0549
62, 0.1529
63, 0.2109
64, 0.4289
65, 0.0069
66, 0.1449
67, 0.0429
68, 0.9009
69, 0.9189
70, 0.2969
71, 0.2349
72, 0.9329
73, 0.5909
74, 0.4089
75, 0.5869
76, 0.3249
77, 0.8229
78, 0.2809
79, 0.8989
80, 0.8769
81, 0.4149
82, 0.7129
83, 0.9709
84, 0.3889
85, 0.1669
86, 0.5049
87, 0.6029
88, 0.6609
89, 0.8789
90, 0.4569
91, 0.5949
92, 0.4929
93, 0.3509
94, 0.3689
95, 0.7469
96, 0.6849
97, 0.3829
98, 0.0409
99, 0.8589
100, 0.0369
