Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 3551
n: 3551
a: 61
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.3551
1, 0.6611
2, 0.3271
3, 0.9531
4, 0.1391
5, 0.4851
6, 0.5911
7, 0.0571
8, 0.4831
9, 0.4691
10, 0.6151
11, 0.5211
12, 0.7871
13, 0.0131
14, 0.7991
15, 0.7451
16, 0.4511
17, 0.5171
18, 0.5431
19, 0.1291
20, 0.8751
21, 0.3811
22, 0.2471
23, 0.0731
24, 0.4591
25, 0.0051
26, 0.3111
27, 0.9771
28, 0.6031
29, 0.7891
30, 0.1351
31, 0.2411
32, 0.7071
33, 0.1331
34, 0.1191
35, 0.2651
36, 0.1711
37, 0.4371
38, 0.6631
39, 0.4491
40, 0.3951
41, 0.1011
42, 0.1671
43, 0.1931
44, 0.7791
45, 0.5251
46, 0.0311
47, 0.8971
48, 0.7231
49, 0.1091
50, 0.6551
51, 0.9611
52, 0.6271
53, 0.2531
54, 0.4391
55, 0.7851
56, 0.8911
57, 0.3571
58, 0.7831
59, 0.7691
60, 0.9151
61, 0.8211
62, 0.0871
63, 0.3131
64, 0.0991
65, 0.0451
66, 0.7511
67, 0.8171
68, 0.8431
69, 0.4291
70, 0.1751
71, 0.6811
72, 0.5471
73, 0.3731
74, 0.7591
75, 0.3051
76, 0.6111
77, 0.2771
78, 0.9031
79, 0.0891
80, 0.4351
81, 0.5411
82, 0.0071
83, 0.4331
84, 0.4191
85, 0.5651
86, 0.4711
87, 0.7371
88, 0.9631
89, 0.7491
90, 0.6951
91, 0.4011
92, 0.4671
93, 0.4931
94, 0.0791
95, 0.8251
96, 0.3311
97, 0.1971
98, 0.0231
99, 0.4091
100, 0.9551
