Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 5867
n: 5867
a: 19
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.5867
1, 0.1473
2, 0.7987
3, 0.1753
4, 0.3307
5, 0.2833
6, 0.3827
7, 0.2713
8, 0.1547
9, 0.9393
10, 0.8467
11, 0.0873
12, 0.6587
13, 0.5153
14, 0.7907
15, 0.0233
16, 0.4427
17, 0.4113
18, 0.8147
19, 0.4793
20, 0.1067
21, 0.0273
22, 0.5187
23, 0.8553
24, 0.2507
25, 0.7633
26, 0.5027
27, 0.5513
28, 0.4747
29, 0.0193
30, 0.3667
31, 0.9673
32, 0.3787
33, 0.1953
34, 0.7107
35, 0.5033
36, 0.5627
37, 0.6913
38, 0.1347
39, 0.5593
40, 0.6267
41, 0.9073
42, 0.2387
43, 0.5353
44, 0.1707
45, 0.2433
46, 0.6227
47, 0.8313
48, 0.7947
49, 0.0993
50, 0.8867
51, 0.8473
52, 0.0987
53, 0.8753
54, 0.6307
55, 0.9833
56, 0.6827
57, 0.9713
58, 0.4547
59, 0.6393
60, 0.1467
61, 0.7873
62, 0.9587
63, 0.2153
64, 0.0907
65, 0.7233
66, 0.7427
67, 0.1113
68, 0.1147
69, 0.1793
70, 0.4067
71, 0.7273
72, 0.8187
73, 0.5553
74, 0.5507
75, 0.4633
76, 0.8027
77, 0.2513
78, 0.7747
79, 0.7193
80, 0.6667
81, 0.6673
82, 0.6787
83, 0.8953
84, 0.0107
85, 0.2033
86, 0.8627
87, 0.3913
88, 0.4347
89, 0.2593
90, 0.9267
91, 0.6073
92, 0.5387
93, 0.2353
94, 0.4707
95, 0.9433
96, 0.9227
97, 0.5313
98, 0.0947
99, 0.7993
100, 0.1867
