Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 257
n: 257
a: 101
c: 2122514867
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.257
1, 0.824
2, 0.091
3, 0.058
4, 0.725
5, 0.092
6, 0.159
7, 0.926
8, 0.393
9, 0.56
10, 0.427
11, 0.994
12, 0.261
13, 0.228
14, 0.895
15, 0.262
16, 0.329
17, 0.096
18, 0.563
19, 0.73
20, 0.597
21, 0.164
22, 0.431
23, 0.398
24, 0.065
25, 0.432
26, 0.499
27, 0.266
28, 0.733
29, 0.9
30, 0.767
31, 0.334
32, 0.601
33, 0.568
34, 0.235
35, 0.602
36, 0.669
37, 0.436
38, 0.903
39, 0.07
40, 0.937
41, 0.504
42, 0.771
43, 0.738
44, 0.405
45, 0.772
46, 0.839
47, 0.606
48, 0.073
49, 0.24
50, 0.107
51, 0.674
52, 0.941
53, 0.908
54, 0.575
55, 0.942
56, 0.009
57, 0.776
58, 0.243
59, 0.41
60, 0.277
61, 0.844
62, 0.111
63, 0.078
64, 0.745
65, 0.112
66, 0.179
67, 0.946
68, 0.413
69, 0.58
70, 0.447
71, 0.014
72, 0.281
73, 0.248
74, 0.915
75, 0.282
76, 0.349
77, 0.116
78, 0.583
79, 0.75
80, 0.617
81, 0.184
82, 0.451
83, 0.418
84, 0.085
85, 0.452
86, 0.519
87, 0.286
88, 0.753
89, 0.92
90, 0.787
91, 0.354
92, 0.621
93, 0.588
94, 0.255
95, 0.622
96, 0.689
97, 0.456
98, 0.923
99, 0.09
100, 0.957
