Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 562
n: 562
a: 101
c: 1586997351
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.562
1, 0.113
2, 0.764
3, 0.515
4, 0.366
5, 0.317
6, 0.368
7, 0.519
8, 0.77
9, 0.121
10, 0.572
11, 0.123
12, 0.774
13, 0.525
14, 0.376
15, 0.327
16, 0.378
17, 0.529
18, 0.78
19, 0.131
20, 0.582
21, 0.133
22, 0.784
23, 0.535
24, 0.386
25, 0.337
26, 0.388
27, 0.539
28, 0.79
29, 0.141
30, 0.592
31, 0.143
32, 0.794
33, 0.545
34, 0.396
35, 0.347
36, 0.398
37, 0.549
38, 0.8
39, 0.151
40, 0.602
41, 0.153
42, 0.804
43, 0.555
44, 0.406
45, 0.357
46, 0.408
47, 0.559
48, 0.81
49, 0.161
50, 0.612
51, 0.163
52, 0.814
53, 0.565
54, 0.416
55, 0.367
56, 0.418
57, 0.569
58, 0.82
59, 0.171
60, 0.622
61, 0.173
62, 0.824
63, 0.575
64, 0.426
65, 0.377
66, 0.428
67, 0.579
68, 0.83
69, 0.181
70, 0.632
71, 0.183
72, 0.834
73, 0.585
74, 0.436
75, 0.387
76, 0.438
77, 0.589
78, 0.84
79, 0.191
80, 0.642
81, 0.193
82, 0.844
83, 0.595
84, 0.446
85, 0.397
86, 0.448
87, 0.599
88, 0.85
89, 0.201
90, 0.652
91, 0.203
92, 0.854
93, 0.605
94, 0.456
95, 0.407
96, 0.458
97, 0.609
98, 0.86
99, 0.211
100, 0.662
