Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 180
n: 180
a: 101
c: 1890167803
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.18
1, 0.983
2, 0.086
3, 0.489
4, 0.192
5, 0.195
6, 0.498
7, 0.101
8, 0.004
9, 0.207
10, 0.71
11, 0.513
12, 0.616
13, 0.019
14, 0.722
15, 0.725
16, 0.028
17, 0.631
18, 0.534
19, 0.737
20, 0.24
21, 0.043
22, 0.146
23, 0.549
24, 0.252
25, 0.255
26, 0.558
27, 0.161
28, 0.064
29, 0.267
30, 0.77
31, 0.573
32, 0.676
33, 0.079
34, 0.782
35, 0.785
36, 0.088
37, 0.691
38, 0.594
39, 0.797
40, 0.3
41, 0.103
42, 0.206
43, 0.609
44, 0.312
45, 0.315
46, 0.618
47, 0.221
48, 0.124
49, 0.327
50, 0.83
51, 0.633
52, 0.736
53, 0.139
54, 0.842
55, 0.845
56, 0.148
57, 0.751
58, 0.654
59, 0.857
60, 0.36
61, 0.163
62, 0.266
63, 0.669
64, 0.372
65, 0.375
66, 0.678
67, 0.281
68, 0.184
69, 0.387
70, 0.89
71, 0.693
72, 0.796
73, 0.199
74, 0.902
75, 0.905
76, 0.208
77, 0.811
78, 0.714
79, 0.917
80, 0.42
81, 0.223
82, 0.326
83, 0.729
84, 0.432
85, 0.435
86, 0.738
87, 0.341
88, 0.244
89, 0.447
90, 0.95
91, 0.753
92, 0.856
93, 0.259
94, 0.962
95, 0.965
96, 0.268
97, 0.871
98, 0.774
99, 0.977
100, 0.48
