Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 953
n: 953
a: 101
c: 730306301
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.953
1, 0.554
2, 0.255
3, 0.056
4, 0.957
5, 0.958
6, 0.059
7, 0.26
8, 0.561
9, 0.962
10, 0.463
11, 0.064
12, 0.765
13, 0.566
14, 0.467
15, 0.468
16, 0.569
17, 0.77
18, 0.071
19, 0.472
20, 0.973
21, 0.574
22, 0.275
23, 0.076
24, 0.977
25, 0.978
26, 0.079
27, 0.28
28, 0.581
29, 0.982
30, 0.483
31, 0.084
32, 0.785
33, 0.586
34, 0.487
35, 0.488
36, 0.589
37, 0.79
38, 0.091
39, 0.492
40, 0.993
41, 0.594
42, 0.295
43, 0.096
44, 0.997
45, 0.998
46, 0.099
47, 0.3
48, 0.601
49, 0.002
50, 0.503
51, 0.104
52, 0.805
53, 0.606
54, 0.507
55, 0.508
56, 0.609
57, 0.81
58, 0.111
59, 0.512
60, 0.013
61, 0.614
62, 0.315
63, 0.116
64, 0.017
65, 0.018
66, 0.119
67, 0.32
68, 0.621
69, 0.022
70, 0.523
71, 0.124
72, 0.825
73, 0.626
74, 0.527
75, 0.528
76, 0.629
77, 0.83
78, 0.131
79, 0.532
80, 0.033
81, 0.634
82, 0.335
83, 0.136
84, 0.037
85, 0.038
86, 0.139
87, 0.34
88, 0.641
89, 0.042
90, 0.543
91, 0.144
92, 0.845
93, 0.646
94, 0.547
95, 0.548
96, 0.649
97, 0.85
98, 0.151
99, 0.552
100, 0.053
