Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 85
n: 85
a: 101
c: 1284954417
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.085
1, 0.002
2, 0.619
3, 0.936
4, 0.953
5, 0.67
6, 0.087
7, 0.204
8, 0.021
9, 0.538
10, 0.755
11, 0.672
12, 0.289
13, 0.606
14, 0.623
15, 0.34
16, 0.757
17, 0.874
18, 0.691
19, 0.208
20, 0.425
21, 0.342
22, 0.959
23, 0.276
24, 0.293
25, 0.01
26, 0.427
27, 0.544
28, 0.361
29, 0.878
30, 0.095
31, 0.012
32, 0.629
33, 0.946
34, 0.963
35, 0.68
36, 0.097
37, 0.214
38, 0.031
39, 0.548
40, 0.765
41, 0.682
42, 0.299
43, 0.616
44, 0.633
45, 0.35
46, 0.767
47, 0.884
48, 0.701
49, 0.218
50, 0.435
51, 0.352
52, 0.969
53, 0.286
54, 0.303
55, 0.02
56, 0.437
57, 0.554
58, 0.371
59, 0.888
60, 0.105
61, 0.022
62, 0.639
63, 0.956
64, 0.973
65, 0.69
66, 0.107
67, 0.224
68, 0.041
69, 0.558
70, 0.775
71, 0.692
72, 0.309
73, 0.626
74, 0.643
75, 0.36
76, 0.777
77, 0.894
78, 0.711
79, 0.228
80, 0.445
81, 0.362
82, 0.979
83, 0.296
84, 0.313
85, 0.03
86, 0.447
87, 0.564
88, 0.381
89, 0.898
90, 0.115
91, 0.032
92, 0.649
93, 0.966
94, 0.983
95, 0.7
96, 0.117
97, 0.234
98, 0.051
99, 0.568
100, 0.785
