Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 833
n: 833
a: 101
c: 657068961
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.833
1, 0.094
2, 0.455
3, 0.916
4, 0.477
5, 0.138
6, 0.899
7, 0.76
8, 0.721
9, 0.782
10, 0.943
11, 0.204
12, 0.565
13, 0.026
14, 0.587
15, 0.248
16, 0.009
17, 0.87
18, 0.831
19, 0.892
20, 0.053
21, 0.314
22, 0.675
23, 0.136
24, 0.697
25, 0.358
26, 0.119
27, 0.98
28, 0.941
29, 0.002
30, 0.163
31, 0.424
32, 0.785
33, 0.246
34, 0.807
35, 0.468
36, 0.229
37, 0.09
38, 0.051
39, 0.112
40, 0.273
41, 0.534
42, 0.895
43, 0.356
44, 0.917
45, 0.578
46, 0.339
47, 0.2
48, 0.161
49, 0.222
50, 0.383
51, 0.644
52, 0.005
53, 0.466
54, 0.027
55, 0.688
56, 0.449
57, 0.31
58, 0.271
59, 0.332
60, 0.493
61, 0.754
62, 0.115
63, 0.576
64, 0.137
65, 0.798
66, 0.559
67, 0.42
68, 0.381
69, 0.442
70, 0.603
71, 0.864
72, 0.225
73, 0.686
74, 0.247
75, 0.908
76, 0.669
77, 0.53
78, 0.491
79, 0.552
80, 0.713
81, 0.974
82, 0.335
83, 0.796
84, 0.357
85, 0.018
86, 0.779
87, 0.64
88, 0.601
89, 0.662
90, 0.823
91, 0.084
92, 0.445
93, 0.906
94, 0.467
95, 0.128
96, 0.889
97, 0.75
98, 0.711
99, 0.772
100, 0.933
