Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 89
n: 89
a: 101
c: 170783433
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.089
1, 0.422
2, 0.055
3, 0.988
4, 0.221
5, 0.754
6, 0.587
7, 0.72
8, 0.153
9, 0.886
10, 0.919
11, 0.252
12, 0.885
13, 0.818
14, 0.051
15, 0.584
16, 0.417
17, 0.55
18, 0.983
19, 0.716
20, 0.749
21, 0.082
22, 0.715
23, 0.648
24, 0.881
25, 0.414
26, 0.247
27, 0.38
28, 0.813
29, 0.546
30, 0.579
31, 0.912
32, 0.545
33, 0.478
34, 0.711
35, 0.244
36, 0.077
37, 0.21
38, 0.643
39, 0.376
40, 0.409
41, 0.742
42, 0.375
43, 0.308
44, 0.541
45, 0.074
46, 0.907
47, 0.04
48, 0.473
49, 0.206
50, 0.239
51, 0.572
52, 0.205
53, 0.138
54, 0.371
55, 0.904
56, 0.737
57, 0.87
58, 0.303
59, 0.036
60, 0.069
61, 0.402
62, 0.035
63, 0.968
64, 0.201
65, 0.734
66, 0.567
67, 0.7
68, 0.133
69, 0.866
70, 0.899
71, 0.232
72, 0.865
73, 0.798
74, 0.031
75, 0.564
76, 0.397
77, 0.53
78, 0.963
79, 0.696
80, 0.729
81, 0.062
82, 0.695
83, 0.628
84, 0.861
85, 0.394
86, 0.227
87, 0.36
88, 0.793
89, 0.526
90, 0.559
91, 0.892
92, 0.525
93, 0.458
94, 0.691
95, 0.224
96, 0.057
97, 0.19
98, 0.623
99, 0.356
100, 0.389
