Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 91
n: 91
a: 101
c: 896575371
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.091
1, 0.562
2, 0.133
3, 0.804
4, 0.575
5, 0.446
6, 0.417
7, 0.488
8, 0.659
9, 0.93
10, 0.301
11, 0.772
12, 0.343
13, 0.014
14, 0.785
15, 0.656
16, 0.627
17, 0.698
18, 0.869
19, 0.14
20, 0.511
21, 0.982
22, 0.553
23, 0.224
24, 0.995
25, 0.866
26, 0.837
27, 0.908
28, 0.079
29, 0.35
30, 0.721
31, 0.192
32, 0.763
33, 0.434
34, 0.205
35, 0.076
36, 0.047
37, 0.118
38, 0.289
39, 0.56
40, 0.931
41, 0.402
42, 0.973
43, 0.644
44, 0.415
45, 0.286
46, 0.257
47, 0.328
48, 0.499
49, 0.77
50, 0.141
51, 0.612
52, 0.183
53, 0.854
54, 0.625
55, 0.496
56, 0.467
57, 0.538
58, 0.709
59, 0.98
60, 0.351
61, 0.822
62, 0.393
63, 0.064
64, 0.835
65, 0.706
66, 0.677
67, 0.748
68, 0.919
69, 0.19
70, 0.561
71, 0.032
72, 0.603
73, 0.274
74, 0.045
75, 0.916
76, 0.887
77, 0.958
78, 0.129
79, 0.4
80, 0.771
81, 0.242
82, 0.813
83, 0.484
84, 0.255
85, 0.126
86, 0.097
87, 0.168
88, 0.339
89, 0.61
90, 0.981
91, 0.452
92, 0.023
93, 0.694
94, 0.465
95, 0.336
96, 0.307
97, 0.378
98, 0.549
99, 0.82
100, 0.191
