Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 399
n: 399
a: 101
c: 1006931313
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.399
1, 0.612
2, 0.125
3, 0.938
4, 0.051
5, 0.464
6, 0.177
7, 0.19
8, 0.503
9, 0.116
10, 0.029
11, 0.242
12, 0.755
13, 0.568
14, 0.681
15, 0.094
16, 0.807
17, 0.82
18, 0.133
19, 0.746
20, 0.659
21, 0.872
22, 0.385
23, 0.198
24, 0.311
25, 0.724
26, 0.437
27, 0.45
28, 0.763
29, 0.376
30, 0.289
31, 0.502
32, 0.015
33, 0.828
34, 0.941
35, 0.354
36, 0.067
37, 0.08
38, 0.393
39, 0.006
40, 0.919
41, 0.132
42, 0.645
43, 0.458
44, 0.571
45, 0.984
46, 0.697
47, 0.71
48, 0.023
49, 0.636
50, 0.549
51, 0.762
52, 0.275
53, 0.088
54, 0.201
55, 0.614
56, 0.327
57, 0.34
58, 0.653
59, 0.266
60, 0.179
61, 0.392
62, 0.905
63, 0.718
64, 0.831
65, 0.244
66, 0.957
67, 0.97
68, 0.283
69, 0.896
70, 0.809
71, 0.022
72, 0.535
73, 0.348
74, 0.461
75, 0.874
76, 0.587
77, 0.6
78, 0.913
79, 0.526
80, 0.439
81, 0.652
82, 0.165
83, 0.978
84, 0.091
85, 0.504
86, 0.217
87, 0.23
88, 0.543
89, 0.156
90, 0.069
91, 0.282
92, 0.795
93, 0.608
94, 0.721
95, 0.134
96, 0.847
97, 0.86
98, 0.173
99, 0.786
100, 0.699
