Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 16
n: 16
a: 101
c: 1829076569
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.016
1, 0.185
2, 0.254
3, 0.223
4, 0.092
5, 0.861
6, 0.53
7, 0.099
8, 0.568
9, 0.937
10, 0.206
11, 0.375
12, 0.444
13, 0.413
14, 0.282
15, 0.051
16, 0.72
17, 0.289
18, 0.758
19, 0.127
20, 0.396
21, 0.565
22, 0.634
23, 0.603
24, 0.472
25, 0.241
26, 0.91
27, 0.479
28, 0.948
29, 0.317
30, 0.586
31, 0.755
32, 0.824
33, 0.793
34, 0.662
35, 0.431
36, 0.1
37, 0.669
38, 0.138
39, 0.507
40, 0.776
41, 0.945
42, 0.014
43, 0.983
44, 0.852
45, 0.621
46, 0.29
47, 0.859
48, 0.328
49, 0.697
50, 0.966
51, 0.135
52, 0.204
53, 0.173
54, 0.042
55, 0.811
56, 0.48
57, 0.049
58, 0.518
59, 0.887
60, 0.156
61, 0.325
62, 0.394
63, 0.363
64, 0.232
65, 0.001
66, 0.67
67, 0.239
68, 0.708
69, 0.077
70, 0.346
71, 0.515
72, 0.584
73, 0.553
74, 0.422
75, 0.191
76, 0.86
77, 0.429
78, 0.898
79, 0.267
80, 0.536
81, 0.705
82, 0.774
83, 0.743
84, 0.612
85, 0.381
86, 0.05
87, 0.619
88, 0.088
89, 0.457
90, 0.726
91, 0.895
92, 0.964
93, 0.933
94, 0.802
95, 0.571
96, 0.24
97, 0.809
98, 0.278
99, 0.647
100, 0.916
