Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 970
n: 970
a: 101
c: 735720251
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.97
1, 0.221
2, 0.572
3, 0.023
4, 0.574
5, 0.225
6, 0.976
7, 0.827
8, 0.778
9, 0.829
10, 0.98
11, 0.231
12, 0.582
13, 0.033
14, 0.584
15, 0.235
16, 0.986
17, 0.837
18, 0.788
19, 0.839
20, 0.99
21, 0.241
22, 0.592
23, 0.043
24, 0.594
25, 0.245
26, 0.996
27, 0.847
28, 0.798
29, 0.849
30, 0.0
31, 0.251
32, 0.602
33, 0.053
34, 0.604
35, 0.255
36, 0.006
37, 0.857
38, 0.808
39, 0.859
40, 0.01
41, 0.261
42, 0.612
43, 0.063
44, 0.614
45, 0.265
46, 0.016
47, 0.867
48, 0.818
49, 0.869
50, 0.02
51, 0.271
52, 0.622
53, 0.073
54, 0.624
55, 0.275
56, 0.026
57, 0.877
58, 0.828
59, 0.879
60, 0.03
61, 0.281
62, 0.632
63, 0.083
64, 0.634
65, 0.285
66, 0.036
67, 0.887
68, 0.838
69, 0.889
70, 0.04
71, 0.291
72, 0.642
73, 0.093
74, 0.644
75, 0.295
76, 0.046
77, 0.897
78, 0.848
79, 0.899
80, 0.05
81, 0.301
82, 0.652
83, 0.103
84, 0.654
85, 0.305
86, 0.056
87, 0.907
88, 0.858
89, 0.909
90, 0.06
91, 0.311
92, 0.662
93, 0.113
94, 0.664
95, 0.315
96, 0.066
97, 0.917
98, 0.868
99, 0.919
100, 0.07
