Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 60
n: 60
a: 101
c: 69341717
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.06
1, 0.777
2, 0.194
3, 0.311
4, 0.128
5, 0.645
6, 0.862
7, 0.779
8, 0.396
9, 0.713
10, 0.73
11, 0.447
12, 0.864
13, 0.981
14, 0.798
15, 0.315
16, 0.532
17, 0.449
18, 0.066
19, 0.383
20, 0.4
21, 0.117
22, 0.534
23, 0.651
24, 0.468
25, 0.985
26, 0.202
27, 0.119
28, 0.736
29, 0.053
30, 0.07
31, 0.787
32, 0.204
33, 0.321
34, 0.138
35, 0.655
36, 0.872
37, 0.789
38, 0.406
39, 0.723
40, 0.74
41, 0.457
42, 0.874
43, 0.991
44, 0.808
45, 0.325
46, 0.542
47, 0.459
48, 0.076
49, 0.393
50, 0.41
51, 0.127
52, 0.544
53, 0.661
54, 0.478
55, 0.995
56, 0.212
57, 0.129
58, 0.746
59, 0.063
60, 0.08
61, 0.797
62, 0.214
63, 0.331
64, 0.148
65, 0.665
66, 0.882
67, 0.799
68, 0.416
69, 0.733
70, 0.75
71, 0.467
72, 0.884
73, 0.001
74, 0.818
75, 0.335
76, 0.552
77, 0.469
78, 0.086
79, 0.403
80, 0.42
81, 0.137
82, 0.554
83, 0.671
84, 0.488
85, 0.005
86, 0.222
87, 0.139
88, 0.756
89, 0.073
90, 0.09
91, 0.807
92, 0.224
93, 0.341
94, 0.158
95, 0.675
96, 0.892
97, 0.809
98, 0.426
99, 0.743
100, 0.76
