Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 531
n: 531
a: 101
c: 1653356929
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.531
1, 0.56
2, 0.489
3, 0.318
4, 0.047
5, 0.676
6, 0.205
7, 0.634
8, 0.963
9, 0.192
10, 0.321
11, 0.35
12, 0.279
13, 0.108
14, 0.837
15, 0.466
16, 0.995
17, 0.424
18, 0.753
19, 0.982
20, 0.111
21, 0.14
22, 0.069
23, 0.898
24, 0.627
25, 0.256
26, 0.785
27, 0.214
28, 0.543
29, 0.772
30, 0.901
31, 0.93
32, 0.859
33, 0.688
34, 0.417
35, 0.046
36, 0.575
37, 0.004
38, 0.333
39, 0.562
40, 0.691
41, 0.72
42, 0.649
43, 0.478
44, 0.207
45, 0.836
46, 0.365
47, 0.794
48, 0.123
49, 0.352
50, 0.481
51, 0.51
52, 0.439
53, 0.268
54, 0.997
55, 0.626
56, 0.155
57, 0.584
58, 0.913
59, 0.142
60, 0.271
61, 0.3
62, 0.229
63, 0.058
64, 0.787
65, 0.416
66, 0.945
67, 0.374
68, 0.703
69, 0.932
70, 0.061
71, 0.09
72, 0.019
73, 0.848
74, 0.577
75, 0.206
76, 0.735
77, 0.164
78, 0.493
79, 0.722
80, 0.851
81, 0.88
82, 0.809
83, 0.638
84, 0.367
85, 0.996
86, 0.525
87, 0.954
88, 0.283
89, 0.512
90, 0.641
91, 0.67
92, 0.599
93, 0.428
94, 0.157
95, 0.786
96, 0.315
97, 0.744
98, 0.073
99, 0.302
100, 0.431
