Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 711
n: 711
a: 101
c: 277625221
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.711
1, 0.032
2, 0.453
3, 0.974
4, 0.595
5, 0.316
6, 0.137
7, 0.058
8, 0.079
9, 0.2
10, 0.421
11, 0.742
12, 0.163
13, 0.684
14, 0.305
15, 0.026
16, 0.847
17, 0.768
18, 0.789
19, 0.91
20, 0.131
21, 0.452
22, 0.873
23, 0.394
24, 0.015
25, 0.736
26, 0.557
27, 0.478
28, 0.499
29, 0.62
30, 0.841
31, 0.162
32, 0.583
33, 0.104
34, 0.725
35, 0.446
36, 0.267
37, 0.188
38, 0.209
39, 0.33
40, 0.551
41, 0.872
42, 0.293
43, 0.814
44, 0.435
45, 0.156
46, 0.977
47, 0.898
48, 0.919
49, 0.04
50, 0.261
51, 0.582
52, 0.003
53, 0.524
54, 0.145
55, 0.866
56, 0.687
57, 0.608
58, 0.629
59, 0.75
60, 0.971
61, 0.292
62, 0.713
63, 0.234
64, 0.855
65, 0.576
66, 0.397
67, 0.318
68, 0.339
69, 0.46
70, 0.681
71, 0.002
72, 0.423
73, 0.944
74, 0.565
75, 0.286
76, 0.107
77, 0.028
78, 0.049
79, 0.17
80, 0.391
81, 0.712
82, 0.133
83, 0.654
84, 0.275
85, 0.996
86, 0.817
87, 0.738
88, 0.759
89, 0.88
90, 0.101
91, 0.422
92, 0.843
93, 0.364
94, 0.985
95, 0.706
96, 0.527
97, 0.448
98, 0.469
99, 0.59
100, 0.811
