Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 462
n: 462
a: 101
c: 120009357
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.462
1, 0.019
2, 0.276
3, 0.233
4, 0.89
5, 0.247
6, 0.304
7, 0.061
8, 0.518
9, 0.675
10, 0.532
11, 0.089
12, 0.346
13, 0.303
14, 0.96
15, 0.317
16, 0.374
17, 0.131
18, 0.588
19, 0.745
20, 0.602
21, 0.159
22, 0.416
23, 0.373
24, 0.03
25, 0.387
26, 0.444
27, 0.201
28, 0.658
29, 0.815
30, 0.672
31, 0.229
32, 0.486
33, 0.443
34, 0.1
35, 0.457
36, 0.514
37, 0.271
38, 0.728
39, 0.885
40, 0.742
41, 0.299
42, 0.556
43, 0.513
44, 0.17
45, 0.527
46, 0.584
47, 0.341
48, 0.798
49, 0.955
50, 0.812
51, 0.369
52, 0.626
53, 0.583
54, 0.24
55, 0.597
56, 0.654
57, 0.411
58, 0.868
59, 0.025
60, 0.882
61, 0.439
62, 0.696
63, 0.653
64, 0.31
65, 0.667
66, 0.724
67, 0.481
68, 0.938
69, 0.095
70, 0.952
71, 0.509
72, 0.766
73, 0.723
74, 0.38
75, 0.737
76, 0.794
77, 0.551
78, 0.008
79, 0.165
80, 0.022
81, 0.579
82, 0.836
83, 0.793
84, 0.45
85, 0.807
86, 0.864
87, 0.621
88, 0.078
89, 0.235
90, 0.092
91, 0.649
92, 0.906
93, 0.863
94, 0.52
95, 0.877
96, 0.934
97, 0.691
98, 0.148
99, 0.305
100, 0.162
