Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 455
n: 455
a: 101
c: 1346706107
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.455
1, 0.062
2, 0.369
3, 0.376
4, 0.083
5, 0.49
6, 0.597
7, 0.404
8, 0.911
9, 0.118
10, 0.025
11, 0.632
12, 0.939
13, 0.946
14, 0.653
15, 0.06
16, 0.167
17, 0.974
18, 0.481
19, 0.688
20, 0.595
21, 0.202
22, 0.509
23, 0.516
24, 0.223
25, 0.63
26, 0.737
27, 0.544
28, 0.051
29, 0.258
30, 0.165
31, 0.772
32, 0.079
33, 0.086
34, 0.793
35, 0.2
36, 0.307
37, 0.114
38, 0.621
39, 0.828
40, 0.735
41, 0.342
42, 0.649
43, 0.656
44, 0.363
45, 0.77
46, 0.877
47, 0.684
48, 0.191
49, 0.398
50, 0.305
51, 0.912
52, 0.219
53, 0.226
54, 0.933
55, 0.34
56, 0.447
57, 0.254
58, 0.761
59, 0.968
60, 0.875
61, 0.482
62, 0.789
63, 0.796
64, 0.503
65, 0.91
66, 0.017
67, 0.824
68, 0.331
69, 0.538
70, 0.445
71, 0.052
72, 0.359
73, 0.366
74, 0.073
75, 0.48
76, 0.587
77, 0.394
78, 0.901
79, 0.108
80, 0.015
81, 0.622
82, 0.929
83, 0.936
84, 0.643
85, 0.05
86, 0.157
87, 0.964
88, 0.471
89, 0.678
90, 0.585
91, 0.192
92, 0.499
93, 0.506
94, 0.213
95, 0.62
96, 0.727
97, 0.534
98, 0.041
99, 0.248
100, 0.155
