Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 708
n: 708
a: 101
c: 842330357
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.708
1, 0.865
2, 0.722
3, 0.279
4, 0.536
5, 0.493
6, 0.15
7, 0.507
8, 0.564
9, 0.321
10, 0.778
11, 0.935
12, 0.792
13, 0.349
14, 0.606
15, 0.563
16, 0.22
17, 0.577
18, 0.634
19, 0.391
20, 0.848
21, 0.005
22, 0.862
23, 0.419
24, 0.676
25, 0.633
26, 0.29
27, 0.647
28, 0.704
29, 0.461
30, 0.918
31, 0.075
32, 0.932
33, 0.489
34, 0.746
35, 0.703
36, 0.36
37, 0.717
38, 0.774
39, 0.531
40, 0.988
41, 0.145
42, 0.002
43, 0.559
44, 0.816
45, 0.773
46, 0.43
47, 0.787
48, 0.844
49, 0.601
50, 0.058
51, 0.215
52, 0.072
53, 0.629
54, 0.886
55, 0.843
56, 0.5
57, 0.857
58, 0.914
59, 0.671
60, 0.128
61, 0.285
62, 0.142
63, 0.699
64, 0.956
65, 0.913
66, 0.57
67, 0.927
68, 0.984
69, 0.741
70, 0.198
71, 0.355
72, 0.212
73, 0.769
74, 0.026
75, 0.983
76, 0.64
77, 0.997
78, 0.054
79, 0.811
80, 0.268
81, 0.425
82, 0.282
83, 0.839
84, 0.096
85, 0.053
86, 0.71
87, 0.067
88, 0.124
89, 0.881
90, 0.338
91, 0.495
92, 0.352
93, 0.909
94, 0.166
95, 0.123
96, 0.78
97, 0.137
98, 0.194
99, 0.951
100, 0.408
