Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 703
n: 703
a: 101
c: 1606543049
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.703
1, 0.052
2, 0.301
3, 0.45
4, 0.499
5, 0.448
6, 0.297
7, 0.046
8, 0.695
9, 0.244
10, 0.693
11, 0.042
12, 0.291
13, 0.44
14, 0.489
15, 0.438
16, 0.287
17, 0.036
18, 0.685
19, 0.234
20, 0.683
21, 0.032
22, 0.281
23, 0.43
24, 0.479
25, 0.428
26, 0.277
27, 0.026
28, 0.675
29, 0.224
30, 0.673
31, 0.022
32, 0.271
33, 0.42
34, 0.469
35, 0.418
36, 0.267
37, 0.016
38, 0.665
39, 0.214
40, 0.663
41, 0.012
42, 0.261
43, 0.41
44, 0.459
45, 0.408
46, 0.257
47, 0.006
48, 0.655
49, 0.204
50, 0.653
51, 0.002
52, 0.251
53, 0.4
54, 0.449
55, 0.398
56, 0.247
57, 0.996
58, 0.645
59, 0.194
60, 0.643
61, 0.992
62, 0.241
63, 0.39
64, 0.439
65, 0.388
66, 0.237
67, 0.986
68, 0.635
69, 0.184
70, 0.633
71, 0.982
72, 0.231
73, 0.38
74, 0.429
75, 0.378
76, 0.227
77, 0.976
78, 0.625
79, 0.174
80, 0.623
81, 0.972
82, 0.221
83, 0.37
84, 0.419
85, 0.368
86, 0.217
87, 0.966
88, 0.615
89, 0.164
90, 0.613
91, 0.962
92, 0.211
93, 0.36
94, 0.409
95, 0.358
96, 0.207
97, 0.956
98, 0.605
99, 0.154
100, 0.603
