Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 10
n: 10
a: 101
c: 1914413689
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.01
1, 0.699
2, 0.288
3, 0.777
4, 0.166
5, 0.455
6, 0.644
7, 0.733
8, 0.722
9, 0.611
10, 0.4
11, 0.089
12, 0.678
13, 0.167
14, 0.556
15, 0.845
16, 0.034
17, 0.123
18, 0.112
19, 0.001
20, 0.79
21, 0.479
22, 0.068
23, 0.557
24, 0.946
25, 0.235
26, 0.424
27, 0.513
28, 0.502
29, 0.391
30, 0.18
31, 0.869
32, 0.458
33, 0.947
34, 0.336
35, 0.625
36, 0.814
37, 0.903
38, 0.892
39, 0.781
40, 0.57
41, 0.259
42, 0.848
43, 0.337
44, 0.726
45, 0.015
46, 0.204
47, 0.293
48, 0.282
49, 0.171
50, 0.96
51, 0.649
52, 0.238
53, 0.727
54, 0.116
55, 0.405
56, 0.594
57, 0.683
58, 0.672
59, 0.561
60, 0.35
61, 0.039
62, 0.628
63, 0.117
64, 0.506
65, 0.795
66, 0.984
67, 0.073
68, 0.062
69, 0.951
70, 0.74
71, 0.429
72, 0.018
73, 0.507
74, 0.896
75, 0.185
76, 0.374
77, 0.463
78, 0.452
79, 0.341
80, 0.13
81, 0.819
82, 0.408
83, 0.897
84, 0.286
85, 0.575
86, 0.764
87, 0.853
88, 0.842
89, 0.731
90, 0.52
91, 0.209
92, 0.798
93, 0.287
94, 0.676
95, 0.965
96, 0.154
97, 0.243
98, 0.232
99, 0.121
100, 0.91
