Datos del motor: 
Motor: Binatio Metodo: Multiplicativo
n0: 152
n: 152
a: 19
c: 0
b: 9
h: 128
m: 512

Corrida.
 h,n 
0, 0.296875
1, 0.640625
2, 0.171875
3, 0.265625
4, 0.046875
5, 0.890625
6, 0.921875
7, 0.515625
8, 0.796875
9, 0.140625
10, 0.671875
11, 0.765625
12, 0.546875
13, 0.390625
14, 0.421875
15, 0.015625
16, 0.296875
17, 0.640625
18, 0.171875
19, 0.265625
20, 0.046875
21, 0.890625
22, 0.921875
23, 0.515625
24, 0.796875
25, 0.140625
26, 0.671875
27, 0.765625
28, 0.546875
29, 0.390625
30, 0.421875
31, 0.015625
32, 0.296875
33, 0.640625
34, 0.171875
35, 0.265625
36, 0.046875
37, 0.890625
38, 0.921875
39, 0.515625
40, 0.796875
41, 0.140625
42, 0.671875
43, 0.765625
44, 0.546875
45, 0.390625
46, 0.421875
47, 0.015625
48, 0.296875
49, 0.640625
50, 0.171875
51, 0.265625
52, 0.046875
53, 0.890625
54, 0.921875
55, 0.515625
56, 0.796875
57, 0.140625
58, 0.671875
59, 0.765625
60, 0.546875
61, 0.390625
62, 0.421875
63, 0.015625
64, 0.296875
65, 0.640625
66, 0.171875
67, 0.265625
68, 0.046875
69, 0.890625
70, 0.921875
71, 0.515625
72, 0.796875
73, 0.140625
74, 0.671875
75, 0.765625
76, 0.546875
77, 0.390625
78, 0.421875
79, 0.015625
80, 0.296875
81, 0.640625
82, 0.171875
83, 0.265625
84, 0.046875
85, 0.890625
86, 0.921875
87, 0.515625
88, 0.796875
89, 0.140625
90, 0.671875
91, 0.765625
92, 0.546875
93, 0.390625
94, 0.421875
95, 0.015625
96, 0.296875
97, 0.640625
98, 0.171875
99, 0.265625
100, 0.046875
