Datos del motor: 
Motor: Binatio Metodo: Multiplicativo
n0: 220
n: 220
a: 19
c: 0
b: 9
h: 128
m: 512

Corrida.
 h,n 
0, 0.4296875
1, 0.1640625
2, 0.1171875
3, 0.2265625
4, 0.3046875
5, 0.7890625
6, 0.9921875
7, 0.8515625
8, 0.1796875
9, 0.4140625
10, 0.8671875
11, 0.4765625
12, 0.0546875
13, 0.0390625
14, 0.7421875
15, 0.1015625
16, 0.9296875
17, 0.6640625
18, 0.6171875
19, 0.7265625
20, 0.8046875
21, 0.2890625
22, 0.4921875
23, 0.3515625
24, 0.6796875
25, 0.9140625
26, 0.3671875
27, 0.9765625
28, 0.5546875
29, 0.5390625
30, 0.2421875
31, 0.6015625
32, 0.4296875
33, 0.1640625
34, 0.1171875
35, 0.2265625
36, 0.3046875
37, 0.7890625
38, 0.9921875
39, 0.8515625
40, 0.1796875
41, 0.4140625
42, 0.8671875
43, 0.4765625
44, 0.0546875
45, 0.0390625
46, 0.7421875
47, 0.1015625
48, 0.9296875
49, 0.6640625
50, 0.6171875
51, 0.7265625
52, 0.8046875
53, 0.2890625
54, 0.4921875
55, 0.3515625
56, 0.6796875
57, 0.9140625
58, 0.3671875
59, 0.9765625
60, 0.5546875
61, 0.5390625
62, 0.2421875
63, 0.6015625
64, 0.4296875
65, 0.1640625
66, 0.1171875
67, 0.2265625
68, 0.3046875
69, 0.7890625
70, 0.9921875
71, 0.8515625
72, 0.1796875
73, 0.4140625
74, 0.8671875
75, 0.4765625
76, 0.0546875
77, 0.0390625
78, 0.7421875
79, 0.1015625
80, 0.9296875
81, 0.6640625
82, 0.6171875
83, 0.7265625
84, 0.8046875
85, 0.2890625
86, 0.4921875
87, 0.3515625
88, 0.6796875
89, 0.9140625
90, 0.3671875
91, 0.9765625
92, 0.5546875
93, 0.5390625
94, 0.2421875
95, 0.6015625
96, 0.4296875
97, 0.1640625
98, 0.1171875
99, 0.2265625
100, 0.3046875
