Datos del motor: 
Motor: Binatio Metodo: Multiplicativo
n0: 56
n: 56
a: 19
c: 0
b: 9
h: 128
m: 512

Corrida.
 h,n 
0, 0.109375
1, 0.078125
2, 0.484375
3, 0.203125
4, 0.859375
5, 0.328125
6, 0.234375
7, 0.453125
8, 0.609375
9, 0.578125
10, 0.984375
11, 0.703125
12, 0.359375
13, 0.828125
14, 0.734375
15, 0.953125
16, 0.109375
17, 0.078125
18, 0.484375
19, 0.203125
20, 0.859375
21, 0.328125
22, 0.234375
23, 0.453125
24, 0.609375
25, 0.578125
26, 0.984375
27, 0.703125
28, 0.359375
29, 0.828125
30, 0.734375
31, 0.953125
32, 0.109375
33, 0.078125
34, 0.484375
35, 0.203125
36, 0.859375
37, 0.328125
38, 0.234375
39, 0.453125
40, 0.609375
41, 0.578125
42, 0.984375
43, 0.703125
44, 0.359375
45, 0.828125
46, 0.734375
47, 0.953125
48, 0.109375
49, 0.078125
50, 0.484375
51, 0.203125
52, 0.859375
53, 0.328125
54, 0.234375
55, 0.453125
56, 0.609375
57, 0.578125
58, 0.984375
59, 0.703125
60, 0.359375
61, 0.828125
62, 0.734375
63, 0.953125
64, 0.109375
65, 0.078125
66, 0.484375
67, 0.203125
68, 0.859375
69, 0.328125
70, 0.234375
71, 0.453125
72, 0.609375
73, 0.578125
74, 0.984375
75, 0.703125
76, 0.359375
77, 0.828125
78, 0.734375
79, 0.953125
80, 0.109375
81, 0.078125
82, 0.484375
83, 0.203125
84, 0.859375
85, 0.328125
86, 0.234375
87, 0.453125
88, 0.609375
89, 0.578125
90, 0.984375
91, 0.703125
92, 0.359375
93, 0.828125
94, 0.734375
95, 0.953125
96, 0.109375
97, 0.078125
98, 0.484375
99, 0.203125
100, 0.859375
