Datos del motor: 
Motor: Binatio Metodo: Multiplicativo
n0: 499
n: 499
a: 19
c: 0
b: 9
h: 128
m: 512

Corrida.
 h,n 
0, 0.974609375
1, 0.517578125
2, 0.833984375
3, 0.845703125
4, 0.068359375
5, 0.298828125
6, 0.677734375
7, 0.876953125
8, 0.662109375
9, 0.580078125
10, 0.021484375
11, 0.408203125
12, 0.755859375
13, 0.361328125
14, 0.865234375
15, 0.439453125
16, 0.349609375
17, 0.642578125
18, 0.208984375
19, 0.970703125
20, 0.443359375
21, 0.423828125
22, 0.052734375
23, 0.001953125
24, 0.037109375
25, 0.705078125
26, 0.396484375
27, 0.533203125
28, 0.130859375
29, 0.486328125
30, 0.240234375
31, 0.564453125
32, 0.724609375
33, 0.767578125
34, 0.583984375
35, 0.095703125
36, 0.818359375
37, 0.548828125
38, 0.427734375
39, 0.126953125
40, 0.412109375
41, 0.830078125
42, 0.771484375
43, 0.658203125
44, 0.505859375
45, 0.611328125
46, 0.615234375
47, 0.689453125
48, 0.099609375
49, 0.892578125
50, 0.958984375
51, 0.220703125
52, 0.193359375
53, 0.673828125
54, 0.802734375
55, 0.251953125
56, 0.787109375
57, 0.955078125
58, 0.146484375
59, 0.783203125
60, 0.880859375
61, 0.736328125
62, 0.990234375
63, 0.814453125
64, 0.474609375
65, 0.017578125
66, 0.333984375
67, 0.345703125
68, 0.568359375
69, 0.798828125
70, 0.177734375
71, 0.376953125
72, 0.162109375
73, 0.080078125
74, 0.521484375
75, 0.908203125
76, 0.255859375
77, 0.861328125
78, 0.365234375
79, 0.939453125
80, 0.849609375
81, 0.142578125
82, 0.708984375
83, 0.470703125
84, 0.943359375
85, 0.923828125
86, 0.552734375
87, 0.501953125
88, 0.537109375
89, 0.205078125
90, 0.896484375
91, 0.033203125
92, 0.630859375
93, 0.986328125
94, 0.740234375
95, 0.064453125
96, 0.224609375
97, 0.267578125
98, 0.083984375
99, 0.595703125
100, 0.318359375
