Datos del motor: 
Motor: Binatio Metodo: Multiplicativo
n0: 313
n: 313
a: 19
c: 0
b: 9
h: 128
m: 512

Corrida.
 h,n 
0, 0.611328125
1, 0.615234375
2, 0.689453125
3, 0.099609375
4, 0.892578125
5, 0.958984375
6, 0.220703125
7, 0.193359375
8, 0.673828125
9, 0.802734375
10, 0.251953125
11, 0.787109375
12, 0.955078125
13, 0.146484375
14, 0.783203125
15, 0.880859375
16, 0.736328125
17, 0.990234375
18, 0.814453125
19, 0.474609375
20, 0.017578125
21, 0.333984375
22, 0.345703125
23, 0.568359375
24, 0.798828125
25, 0.177734375
26, 0.376953125
27, 0.162109375
28, 0.080078125
29, 0.521484375
30, 0.908203125
31, 0.255859375
32, 0.861328125
33, 0.365234375
34, 0.939453125
35, 0.849609375
36, 0.142578125
37, 0.708984375
38, 0.470703125
39, 0.943359375
40, 0.923828125
41, 0.552734375
42, 0.501953125
43, 0.537109375
44, 0.205078125
45, 0.896484375
46, 0.033203125
47, 0.630859375
48, 0.986328125
49, 0.740234375
50, 0.064453125
51, 0.224609375
52, 0.267578125
53, 0.083984375
54, 0.595703125
55, 0.318359375
56, 0.048828125
57, 0.927734375
58, 0.626953125
59, 0.912109375
60, 0.330078125
61, 0.271484375
62, 0.158203125
63, 0.005859375
64, 0.111328125
65, 0.115234375
66, 0.189453125
67, 0.599609375
68, 0.392578125
69, 0.458984375
70, 0.720703125
71, 0.693359375
72, 0.173828125
73, 0.302734375
74, 0.751953125
75, 0.287109375
76, 0.455078125
77, 0.646484375
78, 0.283203125
79, 0.380859375
80, 0.236328125
81, 0.490234375
82, 0.314453125
83, 0.974609375
84, 0.517578125
85, 0.833984375
86, 0.845703125
87, 0.068359375
88, 0.298828125
89, 0.677734375
90, 0.876953125
91, 0.662109375
92, 0.580078125
93, 0.021484375
94, 0.408203125
95, 0.755859375
96, 0.361328125
97, 0.865234375
98, 0.439453125
99, 0.349609375
100, 0.642578125
