Datos del motor: 
Motor: Binatio Metodo: Multiplicativo
n0: 457
n: 457
a: 19
c: 0
b: 9
h: 128
m: 512

Corrida.
 h,n 
0, 0.892578125
1, 0.958984375
2, 0.220703125
3, 0.193359375
4, 0.673828125
5, 0.802734375
6, 0.251953125
7, 0.787109375
8, 0.955078125
9, 0.146484375
10, 0.783203125
11, 0.880859375
12, 0.736328125
13, 0.990234375
14, 0.814453125
15, 0.474609375
16, 0.017578125
17, 0.333984375
18, 0.345703125
19, 0.568359375
20, 0.798828125
21, 0.177734375
22, 0.376953125
23, 0.162109375
24, 0.080078125
25, 0.521484375
26, 0.908203125
27, 0.255859375
28, 0.861328125
29, 0.365234375
30, 0.939453125
31, 0.849609375
32, 0.142578125
33, 0.708984375
34, 0.470703125
35, 0.943359375
36, 0.923828125
37, 0.552734375
38, 0.501953125
39, 0.537109375
40, 0.205078125
41, 0.896484375
42, 0.033203125
43, 0.630859375
44, 0.986328125
45, 0.740234375
46, 0.064453125
47, 0.224609375
48, 0.267578125
49, 0.083984375
50, 0.595703125
51, 0.318359375
52, 0.048828125
53, 0.927734375
54, 0.626953125
55, 0.912109375
56, 0.330078125
57, 0.271484375
58, 0.158203125
59, 0.005859375
60, 0.111328125
61, 0.115234375
62, 0.189453125
63, 0.599609375
64, 0.392578125
65, 0.458984375
66, 0.720703125
67, 0.693359375
68, 0.173828125
69, 0.302734375
70, 0.751953125
71, 0.287109375
72, 0.455078125
73, 0.646484375
74, 0.283203125
75, 0.380859375
76, 0.236328125
77, 0.490234375
78, 0.314453125
79, 0.974609375
80, 0.517578125
81, 0.833984375
82, 0.845703125
83, 0.068359375
84, 0.298828125
85, 0.677734375
86, 0.876953125
87, 0.662109375
88, 0.580078125
89, 0.021484375
90, 0.408203125
91, 0.755859375
92, 0.361328125
93, 0.865234375
94, 0.439453125
95, 0.349609375
96, 0.642578125
97, 0.208984375
98, 0.970703125
99, 0.443359375
100, 0.423828125
