Datos del motor: 
Motor: Binatio Metodo: Multiplicativo
n0: 497
n: 497
a: 19
c: 0
b: 9
h: 128
m: 512

Corrida.
 h,n 
0, 0.970703125
1, 0.443359375
2, 0.423828125
3, 0.052734375
4, 0.001953125
5, 0.037109375
6, 0.705078125
7, 0.396484375
8, 0.533203125
9, 0.130859375
10, 0.486328125
11, 0.240234375
12, 0.564453125
13, 0.724609375
14, 0.767578125
15, 0.583984375
16, 0.095703125
17, 0.818359375
18, 0.548828125
19, 0.427734375
20, 0.126953125
21, 0.412109375
22, 0.830078125
23, 0.771484375
24, 0.658203125
25, 0.505859375
26, 0.611328125
27, 0.615234375
28, 0.689453125
29, 0.099609375
30, 0.892578125
31, 0.958984375
32, 0.220703125
33, 0.193359375
34, 0.673828125
35, 0.802734375
36, 0.251953125
37, 0.787109375
38, 0.955078125
39, 0.146484375
40, 0.783203125
41, 0.880859375
42, 0.736328125
43, 0.990234375
44, 0.814453125
45, 0.474609375
46, 0.017578125
47, 0.333984375
48, 0.345703125
49, 0.568359375
50, 0.798828125
51, 0.177734375
52, 0.376953125
53, 0.162109375
54, 0.080078125
55, 0.521484375
56, 0.908203125
57, 0.255859375
58, 0.861328125
59, 0.365234375
60, 0.939453125
61, 0.849609375
62, 0.142578125
63, 0.708984375
64, 0.470703125
65, 0.943359375
66, 0.923828125
67, 0.552734375
68, 0.501953125
69, 0.537109375
70, 0.205078125
71, 0.896484375
72, 0.033203125
73, 0.630859375
74, 0.986328125
75, 0.740234375
76, 0.064453125
77, 0.224609375
78, 0.267578125
79, 0.083984375
80, 0.595703125
81, 0.318359375
82, 0.048828125
83, 0.927734375
84, 0.626953125
85, 0.912109375
86, 0.330078125
87, 0.271484375
88, 0.158203125
89, 0.005859375
90, 0.111328125
91, 0.115234375
92, 0.189453125
93, 0.599609375
94, 0.392578125
95, 0.458984375
96, 0.720703125
97, 0.693359375
98, 0.173828125
99, 0.302734375
100, 0.751953125
